year,state,avg_wg,wg_diff
1994,ID,7.4468775102643345,-0.013439289913814711
1995,ID,7.4298534955583868,-0.017024014705947721
1996,ID,7.4149653524944084,-0.014888143063978454
1997,ID,7.3951976447563466,-0.0197677077380618
1998,ID,7.3816263458359916,-0.013571298920354913
1999,ID,7.3619040770014115,-0.01972226883458017
2000,ID,7.3512127650688548,-0.01069131193255668
2001,ID,7.3788326229531371,0.027619857884282339
2002,ID,7.3698548914921433,-0.0089777314609937875
2003,ID,7.3211499759671046,-0.04870491552503875
2004,ID,7.2972678098952306,-0.023882166071873989
1969,IL,7.203846889122838,
1970,IL,7.2195010108279414,0.015654121705103385
1971,IL,7.2361996261826347,0.016698615354693302
1972,IL,7.24531341816831,0.0091137919856754124
1973,IL,7.2465440005557626,0.00123058238745255
1974,IL,7.2727895838799146,0.026245583324151944
1975,IL,7.2761783373998385,0.0033887535199239593
1976,IL,7.3131914479246651,0.037013110524826587
1977,IL,7.3210744317171654,0.0078829837925002977
1978,IL,7.329733427892255,0.0086589961750895839
1979,IL,7.3378246971719534,0.0080912692796983876
1980,IL,7.3547928030504748,0.016968105878521378
1981,IL,7.3509668728502,-0.0038259302002749962
1982,IL,7.3637030968195205,0.012736223969320726
1983,IL,7.3688054726169829,0.0051023757974624218
1984,IL,7.3788637922587075,0.010058319641724545
1985,IL,7.37599066595179,-0.002873126306917051
1986,IL,7.359608995469638,-0.016381670482152444
1987,IL,7.3539671511490372,-0.0056418443206007751
1988,IL,7.3590555902402821,0.0050884390912449007
1989,IL,7.3478352581563282,-0.011220332083953899
1990,IL,7.3448852562111142,-0.0029500019452139981
1991,IL,7.3228614355899593,-0.022023820621154933
1992,IL,7.3309840061386389,0.0081225705486795974
1993,IL,7.3106497621042505,-0.020334244034388327
1994,IL,7.3147750745297726,0.0041253124255220541
1995,IL,7.3145378821857543,-0.00023719234401831102
1996,IL,7.3155723798829158,0.0010344976971614628
1997,IL,7.3086964038720357,-0.0068759760108800805
1998,IL,7.3038070059271822,-0.0048893979448534353
1999,IL,7.299519979711258,-0.00428702621592425
2000,IL,7.3026363178343559,0.0031163381230978615
2001,IL,7.2890114877382786,-0.013624830096077289
2002,IL,7.2758091677375845,-0.013202320000694101
2003,IL,7.2602275265289489,-0.015581641208635588
2004,IL,7.2416361057731828,-0.01859142075576603
1969,IN,7.316200840514866,
1970,IN,7.3212102360629867,0.0050093955481207431
1971,IN,7.3499109516515242,0.028700715588537484
1972,IN,7.3531977633644754,0.0032868117129511987
1973,IN,7.3652033437094167,0.012005580344941258
1974,IN,7.38597246224768,0.020769118538263243
1975,IN,7.3983051339796937,0.0123326717320138
1976,IN,7.4039160133615827,0.0056108793818889779
1977,IN,7.404887630385951,0.00097161702436832087
1978,IN,7.424876117695379,0.019988487309428038
1979,IN,7.4281379472551947,0.0032618295598156877
1980,IN,7.4415733820185217,0.013435434763326981
1981,IN,7.438482556133188,-0.0030908258853337145
1982,IN,7.4387267748483961,0.0002442187152080777
1983,IN,7.4360794355259925,-0.0026473393224035746
1984,IN,7.4610782905369186,0.024998855010926135
1985,IN,7.4498096468191077,-0.011268643717810889
1986,IN,7.4557536253326324,0.0059439785135246836
1987,IN,7.4478573501058429,-0.0078962752267894842
1988,IN,7.4388473992037669,-0.0090099509020760138
1989,IN,7.440088258142727,0.0012408589389600877
1990,IN,7.4361172819485244,-0.0039709761942026134
1991,IN,7.4194618992391614,-0.016655382709362954
1992,IN,7.4201705444291326,0.00070864518997115766
